time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-22,102,1,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Rostro - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Rostro,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,2,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Cuello - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Cuello,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,3,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Ariolas - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Ariolas,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,4,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Axilas - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Axilas,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,5,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Pecho - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Pecho,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,6,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Abdomen - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Abdomen,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,7,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Brazos - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Brazos,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,8,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Espalda - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Espalda,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,9,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Gluteos - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Gluteos,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,10,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Hombros - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Hombros,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,11,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Manos - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Manos,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,12,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Piernas - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Piernas,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,13,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Pies - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Pies,Vitiligo,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,14,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Rostro - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Rostro,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,15,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Cuello - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Cuello,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,16,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Ariolas - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Ariolas,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,17,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Axilas - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Axilas,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,18,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Pecho - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Pecho,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,19,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Abdomen - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Abdomen,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,20,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Brazos - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Brazos,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,21,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Espalda - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Espalda,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,22,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Gluteos - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Gluteos,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,23,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Hombros - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Hombros,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,24,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Manos - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Manos,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,25,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Piernas - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Piernas,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,26,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Pies - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Pies,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
