time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-21,103,1,,service,laser,m22,Laser M22 - Rosacea,Laser M22, - ,LASER M22 IPL - Rostro - Rosacea - 1 sesion - 30 min,LASER M22 IPL,Rostro,Rosacea,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,2,,service,laser,m22,Laser M22 - Manchas,Laser M22, - ,LASER M22 IPL - Rostro - Manchas - 1 sesion - 30 min,LASER M22 IPL,Rostro,Manchas,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,3,,service,laser,m22,Laser M22 - Varices,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Varices - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Varices,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-21,103,4,,service,laser,m22,Laser M22 - Telangectacias,Laser M22, - ,LASER M22 ND YAG - Localizado Rostro - Telangectacias - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Rostro,Telangectacias,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-21,103,5,,service,laser,m22,Laser M22 - Telangectacias,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Telangectacias - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Telangectacias,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-21,103,6,,service,laser,m22,Laser M22 - Puntos Rubi,Laser M22, - ,LASER M22 ND YAG - Localizado Rostro - Puntos Rubi - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Rostro,Puntos Rubi,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-21,103,7,,service,laser,m22,Laser M22 - Puntos Rubi,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Puntos Rubi - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Puntos Rubi,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-21,103,8,,service,laser,m22,Laser M22 - Hemangiomas,Laser M22, - ,LASER M22 ND YAG - Localizado Rostro - Hemangiomas - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Rostro,Hemangiomas,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-21,103,9,,service,laser,m22,Laser M22 - Hemangiomas,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Hemangiomas - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Hemangiomas,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-21,103,10,,service,laser,m22,Laser M22 - Acne Activo,Laser M22, - ,LASER M22 IPL - Rostro - Acne Activo - 1 sesion - 30 min,LASER M22 IPL,Rostro,Acne Activo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
