time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,new,name,manufacturer,brand,price,price_company,treatment,zone,pathology,level,sessions,time,price_vip,price_session,price_session_next,price_max
2019-04-22,001,1,,product,topical,chavarri,PROTECTOR SOLAR - H,,PROTECTOR SOLAR - H,HILDA,CLINICA CHAVARRI,200,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,2,,product,topical,chavarri,Protector solar Cooper,1,Protector solar Cooper,LA COOPER,CLINICA CHAVARRI,200,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,3,,product,topical,chavarri,Despigmentante GLI-KO,1,Despigmentante GLI-KO,LA COOPER,CLINICA CHAVARRI,250,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,4,,product,topical,chavarri,Crema Revitalizante con vitaminas,1,Crema Revitalizante con vitaminas,LA COOPER,CLINICA CHAVARRI,200,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,5,,product,topical,chavarri,RegeneraDerm D-Pantenol,1,RegeneraDerm D-Pantenol,LA COOPER,CLINICA CHAVARRI,150,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,6,,product,topical,chavarri,Acne Clean Dermolimpiador,1,Acne Clean Dermolimpiador,LA COOPER,CLINICA CHAVARRI,70,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,7,,product,topical,chavarri,Tretinoina,,Tretinoina,HILDA,CLINICA CHAVARRI,200,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,8,,product,topical,chavarri,Mascara astringente Liquido,,Mascara astringente Liquido,ELIAS OCHANTE,CLINICA CHAVARRI,100,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,9,,product,topical,chavarri,Mascara astringente Polvo,,Mascara astringente Polvo,ELIAS OCHANTE,CLINICA CHAVARRI,100,35,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,10,,product,topical,chavarri,Despigmentante HQ,,Despigmentante HQ,BOTICA FRANCESA,CLINICA CHAVARRI,200,50,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,11,,product,topical,chavarri,Despigmentante AHA,,Despigmentante AHA,BOTICA FRANCESA,CLINICA CHAVARRI,200,50,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,12,,product,topical,chavarri,Crema con Vitaminas,,Crema con Vitaminas,BOTICA FRANCESA,CLINICA CHAVARRI,200,50,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,13,,product,topical,commercial,Tarjeta VIP,,Tarjeta VIP,CLINICA CHAVARRI,CLINICA CHAVARRI,200,0,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,14,,product,topical,commercial,Kit post laser CO2,,Kit post laser CO2,BOTICA VILLEGAS,CLINICA CHAVARRI,150,75,na,na,na,na,na,na,-1,-1,-1,-1
2019-04-22,001,15,,product,topical,commercial,Kit post laser CO2 Cooper,1,Kit post laser CO2 Cooper,LA COOPER,CLINICA CHAVARRI,200,75,na,na,na,na,na,na,-1,-1,-1,-1
