prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
104,1,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 1,1 sesion,-1,5000,3500,5200,-1,1500,6500
104,2,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 2,1 sesion,-1,6000,4500,5600,-1,1250,7000
104,3,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 3,1 sesion,-1,6500,5000,6000,-1,1250,7500
104,4,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Todo Rostro - Manchas - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 1,1 sesion,-1,5000,3500,5200,-1,1500,6500
104,5,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Todo Rostro - Manchas - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 2,1 sesion,-1,6000,4500,5600,-1,1250,7000
104,6,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Todo Rostro - Manchas - Grado 3 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 3,1 sesion,-1,6500,5000,6000,-1,1250,7500
104,7,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Pomulos - Manchas - Grado 1 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 1,1 sesion,-1,3500,2500,3600,-1,1000,4500
104,8,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Pomulos - Manchas - Grado 2 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 2,1 sesion,-1,4000,3000,4000,-1,1000,5000
104,9,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Pomulos - Manchas - Grado 3 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 3,1 sesion,-1,4500,3500,4400,-1,1000,5500
104,10,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 1,1 sesion,-1,3500,2500,3600,-1,1000,4500
104,11,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 2,1 sesion,-1,4000,3000,4000,-1,1000,5000
104,12,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 3,1 sesion,-1,4500,3500,4400,-1,1000,5500
104,13,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 1,1 sesion,-1,3500,2500,3600,-1,1000,4500
104,14,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 2,1 sesion,-1,4000,3000,4000,-1,1000,5000
104,15,,service,laser,quick,QuickLaser - Rejuvenecimiento,QuickLaser, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 3,1 sesion,-1,4500,3500,4400,-1,1000,5500
104,16,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 1 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 1,1 sesion,-1,1000,500,1200,-1,500,1500
104,17,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 2 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 2,1 sesion,-1,1500,1000,2400,-1,1000,3000
104,18,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 3 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 3,1 sesion,-1,2000,1500,3600,-1,1500,4500
104,19,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 1 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 1,1 sesion,-1,2000,1500,3600,-1,1500,4500
104,20,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 2 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 2,1 sesion,-1,2500,2000,4800,-1,2000,6000
104,21,,service,laser,quick,QuickLaser - Manchas,QuickLaser, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 3 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 3,1 sesion,-1,3000,2500,6000,-1,2500,7500
104,22,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 2 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,2 min,1000,500,400,0,-1,-1
104,23,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 5 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,5 min,2000,1000,800,0,-1,-1
104,24,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 15 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,15 min,3000,2000,1600,0,-1,-1
104,25,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 30 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,30 min,4500,3500,2800,0,-1,-1
104,26,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 2 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,2 min,1000,500,400,0,-1,-1
104,27,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 5 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,5 min,2000,1000,800,0,-1,-1
104,28,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 15 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,15 min,3000,2000,1600,0,-1,-1
104,29,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 30 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,30 min,4500,3500,2800,0,-1,-1
104,30,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 2 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,2 min,5000,2000,1600,400,-1,-1
104,31,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 5 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,5 min,10000,4000,3200,800,-1,-1
104,32,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 15 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,15 min,15000,7000,5600,1400,-1,-1
104,33,,service,laser,quick,QuickLaser - Tatuaje,QuickLaser, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 30 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,30 min,22500,9000,7200,1800,-1,-1
104,34,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 2 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,2 min,5000,2000,1600,400,-1,-1
104,35,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 5 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,5 min,10000,4000,3200,800,-1,-1
104,36,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 15 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,15 min,15000,7000,5600,1400,-1,-1
104,37,,service,laser,quick,QuickLaser - Lunares Congenitos,QuickLaser, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 30 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,30 min,22500,9000,7200,1800,-1,-1
