time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-22,101,1,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 1,1 sesion,-1,5500.0,4000.0,3200,-1.0,-1,-1
2019-04-22,101,2,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 2,1 sesion,-1,6500.0,5000.0,4000,-1.0,-1,-1
2019-04-22,101,3,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 3,1 sesion,-1,7500.0,6000.0,4800,-1.0,-1,-1
2019-04-22,101,4,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 1,1 sesion,-1,5500.0,4000.0,3200,-1.0,-1,-1
2019-04-22,101,5,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 2,1 sesion,-1,6500.0,5000.0,4000,-1.0,-1,-1
2019-04-22,101,6,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 3,1 sesion,-1,7500.0,6000.0,4800,-1.0,-1,-1
2019-04-22,101,7,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 1,1 sesion,-1,5500.0,4000.0,3200,-1.0,-1,-1
2019-04-22,101,8,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 2,1 sesion,-1,6500.0,5000.0,4000,-1.0,-1,-1
2019-04-22,101,9,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 3,1 sesion,-1,7500.0,6000.0,4800,-1.0,-1,-1
2019-04-22,101,10,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 1,1 sesion,-1,3500.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,11,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 2,1 sesion,-1,4000.0,3000.0,2400,-1.0,-1,-1
2019-04-22,101,12,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 3,1 sesion,-1,4500.0,3500.0,2800,-1.0,-1,-1
2019-04-22,101,13,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 1,1 sesion,-1,3500.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,14,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 2,1 sesion,-1,4000.0,3000.0,2400,-1.0,-1,-1
